"Story","Title","Result","Date","Stability","Duration (s)"
"Academy Choucair","Search for a automation course","PENDING","2021-10-05T16:12:59.4097866-05:00[America/Bogota]","0.0","0.92"
"Utest","Complete the step 1 in the form","ERROR","2021-10-06T23:44:42.4763893-05:00[America/Bogota]","0.0","1.93"
